Variety,Names,Bee,Bee_sd,Bumble,Bumble_sd,NSC,NSC_sd,Flower,Flower_sd,Colour,Hue,Eye,NSC*Flower
DL01,DL WOW Orange,8.8,2.3874673,0.2,0.4472136,44.17107008,14.97648011,2355,420.936456,orange,-1.3532003,yes,104022.87
DL02,DL RC Magenta Pop,7.6,1.6733201,2.6,1.6733201,27.11144,10.61704193,600,159.0990258,purple,0.5129982,yes,16266.864
DL03,DL RC Candy Red,5,0,1.6,1.5165751,50.33375,29.02695616,390,173.6375535,red,-1.1557721,yes,19630.1625
DL05,DL RC White,5,1.5811388,0.4,1.2247449,46.45409,22.38657189,225,58.09475019,white,-1.5632025,no,10452.17025
DL06,DL SS Purple,9,1.5811388,1.2,0.5477226,58.74875,37.3987633,2775,242.5644244,purple,0.8580345,yes,163027.7813
DL07,DL RC Purple,7,2.5495098,2.2,1.3038405,66.44588,33.38682623,870,61.84658438,purple,0.6586407,no,57807.9156
DL08,DL SS Orange,10.4,3.5071356,0.6,0.83666,49.22908,25.92047673,2265,252.5618736,orange,-1.4582405,no,111503.8662
DL09,DL RC Orange,3.6,0.8944272,0.6,0.8944272,34.45134,13.30335891,210,42.42640687,orange,-1.3122566,yes,7234.7814
DL12,DL RC Yellow,4,1.4142136,0.6,1,67.304,25.09253193,285,49.74937186,yellow,-1.5049714,yes,19181.64
DL10,DL10,0.8,0.83666,0.2,0.4472136,0,0,285,69.55213872,purple,0.7273006,yes,0
DL11,DL11,7.2,2.2803509,0.8,0.83666,18.95921,12.05535996,3990,293.3641082,purple,-0.648534,yes,75647.2479
DL04,DL12,10.4,4.2778499,1,0.8944272,45.96269,20.54365708,2745,364.8115952,purple,0.7022106,yes,126167.5841
DL13,DL13,6.8,1.0954451,2,2,47.34622,28.55069259,1005,184.0176622,red,-1.2209058,yes,47582.9511
DL14,DL14,5.2,1.4832397,1.4,1.1401754,51.31341,30.82190223,330,78.66066361,red,-1.2173406,yes,16933.4253
DL15,DL15,2.4,0.5477226,0.2,0.4472136,48.63253,27.42739635,150,31.81980515,orange,-1.2590656,yes,7294.8795